"SKU_ID","Current_Title","Current_Description","Missing_Keywords","Desired_Hero_Image_Context","Category_Path"
"BM20011","cotton midi dress","Casual floral cotton midi with pockets.","summer dress, breathable, boho","Studio white backdrop with soft daylight","Apparel & Accessories > Clothing > Dresses"
"BM20012","lightweight laptop","14-inch display, fast processor, 1 TB SSD.","ultrabook, Ryzen 7, backlit keyboard","Lifestyle shot in caf̩ workspace","Electronics > Computers > Laptops"
"BM20013","granite pan","28 cm non-stick granite pan with wood handle.","induction-ready, PFOA-free, scratch-resistant","Overhead flat-lay on marble countertop","Home & Garden > Kitchen & Dining > Cookware > Frying Pans"
"BM20014","repair shampoo","Argan oil shampoo for damaged hair.","sulfate-free, biotin, paraben-free","Model with glossy hair holding bottle","Health & Beauty > Personal Care > Hair Care > Shampoos"
"BM20015","family camping tent","4-person waterproof tent, easy setup.","PU 3000 mm, vestibule, backpacking","Tent pitched beside lake at sunset","Sports & Outdoors > Outdoor Recreation > Camping & Hiking > Tents"
"BM20016","building toy set","500 bricks compatible with leading brand.","STEM, creative play, ABS plastic","Kids building castle on play mat","Toys & Games > Toys > Building Toys > Building Sets"
"BM20017","wooden high chair","Adjustable high chair from newborn to toddler.","FSC beech, removable tray, ergonomic","Bright kitchen scene with baby seated","Baby & Toddler > Baby Feeding > High Chairs"
"BM20018","dash cam 4k","4K dash camera with night vision.","HDR, GPS logger, Wi-Fi app","Dashboard interior, city night lights","Automotive > Parts & Accessories > Car Electronics > Car Video > Dash Cameras"
"BM20019","salmon dog food","Grain-free salmon formula, 5 kg.","high-protein, omega-3, hypoallergenic","Happy dog eating from bowl outdoors","Pet Supplies > Dog Supplies > Dog Food"
"BM20020","gel pens pack","12 gel pens fine tip assorted.","quick-dry ink, smear-proof, ergonomic","Pen set arranged in rainbow arc on desk","Office Supplies > Writing & Drawing > Pens & Pencils > Gel Pens"
